Description,AssemblyDescription
Arlington 5010AST MC/AC/Flex ,UNK CONDUIT - FLEX
"3/4"" liquid type flex","3/4"" CONDUIT - FLEX"
2” Ridgid Conduit,"2"" CONDUIT - PVC"
3'' seal tight flex,UNK CONDUIT - FLEX
"1"" GRC Minni's","1"" CONDUIT - GRC"
"3"" PVC SCHED 40","3"" CONDUIT - PVC"
Calbrite S62000MH00 CONDUIT MI,UNK UNK
"PVC Conduit, Schedule 40, 6"" ","6"" CONDUIT - PVC"
"1"" Car flex","1"" CONDUIT - FLEX"
"3/4"" pvc LBs","3/4"" CONDUIT - PVC"
1 Inch Greenfield Flex Steel,"1"" CONDUIT - FLEX"
"2"" PVC conduit","2"" CONDUIT - PVC"
Flex Cnnectors,UNK CONDUIT - FLEX
"1"" CARFLEX","1"" CONDUIT - FLEX"
SC TC112AN-RT 3/4 EMT RAINTIGH,"3/4"" CONDUIT - EMT"
"3/4"" GRC","3/4"" CONDUIT - GRC"
233 15007-CUT REEL 3/4 LT FLEX,"3/4"" CONDUIT - FLEX"
2IN UNIVERSAL RIGID/CONDUIT C,UNK CONDUIT - PVC
LT FLEX 1-1/2,"1-1/2"" CONDUIT - FLEX"
WI 621022 WI LT FLEXMT COND 25,UNK CONDUIT - FLEX
"3/4"" Flexible Liquid tight Met","3/4"" CONDUIT - FLEX"
1/2” EMT,"1/2"" CONDUIT - EMT"
"10' Sticks 2-1/2"" PVC Sch 40 (","2-1/2"" CONDUIT - PVC"
Panduit ST35-075-66GR PVC Ele,UNK CONDUIT - PVC
3/4” Ridgid Conduit,"3/4"" CONDUIT - PVC"
"[EMT] 1 1/4"" Conduit","1-1/4"" CONDUIT - EMT"
2 in. PVC LBE,"2"" CONDUIT - PVC"
2-1/2” Pvc,"2-1/2"" CONDUIT - PVC"
"1-1/4"" PVC Sch.40 Conduit 10' ","1-1/4"" CONDUIT - PVC"
"PVC Conduit, 3/4"", 20', Sched","3/4"" CONDUIT - PVC"
POW PS-1300-AS-1-1/2-EG PIPE C,"1-1/2"" UNK"
"[ENT] 3/4"", 750'","3/4"" UNK"
3/4 L/T FLEX PVC,"3/4"" CONDUIT - FLEX"
"3"" PVC","3"" CONDUIT - PVC"
"1"" PVC Sch 80","1"" CONDUIT - PVC"
"3/4"" PVC 20' lengths","3/4"" CONDUIT - PVC"
"2"" PVC pipe sch 40","2"" CONDUIT - PVC"
"3"" x 3"" PVC Conduit Base Duct","3"" CONDUIT - PVC"
"3/4"" red emt conduit","3/4"" CONDUIT - EMT"
"1 1/2"" EMT","1-1/2"" CONDUIT - EMT"
"3/4"" x 2"" Galvanized Conduit N","3/4"" CONDUIT - GRC"
"2 1/2"" EMT","2-1/2"" CONDUIT - EMT"
"[ENT] 3/4"", 300'","3/4"" UNK"
"3"" emt","3"" CONDUIT - EMT"
2” Pvc Scd 40,"2"" CONDUIT - PVC"
KYL 012002  1/2INX1500FT ENT U,"1/2"" CONDUIT - ENT"
"1"" PVC conduit","1"" CONDUIT - PVC"
3/4” PVC SCHED 40,"3/4"" CONDUIT - PVC"
"3/4"" fmc to emt transition","3/4"" CONDUIT - EMT"
"200' 1"" PVC Sch 40","1"" CONDUIT - PVC"
1 1/2 NPT IRON C FORM 7 CNDT B,"1-1/2"" UNK"
"EMT 2 1/2"" CONDUIT","2-1/2"" CONDUIT - EMT"
LT STR FLEX 1-1/4,"1-1/4"" CONDUIT - FLEX"
EMT300,UNK CONDUIT - EMT
2 1/2” Pvc Scedule 40 Conduit,"2-1/2"" CONDUIT - PVC"
"3"" Conduit -Site  PVC Sch 80","3"" CONDUIT - PVC"
"1"" CONDUIT EMT","1"" CONDUIT - EMT"
1/2 car flex,"1/2"" CONDUIT - FLEX"
"FLEX 3/4"" ALUMINUM","3/4"" CONDUIT - FLEX"
3/4 galv pipe,"3/4"" CONDUIT - GRC"
"1/2"" EMT ","1/2"" CONDUIT - EMT"
3” Schedule 40 Pvc,"3"" CONDUIT - PVC"
"1-1/4"" PVC Conduit, 20', Sched","1-1/4"" CONDUIT - PVC"
"[ENT] 1/2"", 10'","1/2"" UNK"
2” Rigid Conduit 10 FT,"2"" CONDUIT - PVC"
1-1/4”Pvc Schl 40,"1-1/4"" CONDUIT - PVC"
"3/4"" PVC CONDUIT SCH 40","3/4"" CONDUIT - PVC"
"3/4""EMT","3/4"" CONDUIT - EMT"
"3"" PVC Sched 40 X 800'","3"" CONDUIT - PVC"
"1/2"" PVC Conduit, 10', Schedul","1/2"" CONDUIT - PVC"
"REEL, 3/4"" CARFLEX LIQUIDTIGHT","3/4"" CONDUIT - FLEX"
"3"" emt conduit","3"" CONDUIT - EMT"
1 1/2  EMT,"1-1/2"" CONDUIT - EMT"
"3/4"" emt ","3/4"" CONDUIT - EMT"
"1.5"" PVC SCH 40 CONDUIT","5"" CONDUIT - PVC"
"2"" emt pipe","2"" CONDUIT - EMT"
"Rigid Conduit, 2"", Galvanized ","2"" CONDUIT - GRC"
"1&1/4"" PVC Sch.40 Conduit","4"" CONDUIT - PVC"
3/4 PVC LB,"3/4"" CONDUIT - PVC"
"3"" x 10'  PVC ","3"" CONDUIT - PVC"
"1 1/4"" threaded plastic pvc bu","1-1/4"" CONDUIT - PVC"
"1"" EMT ","1"" CONDUIT - EMT"
"1""PVC MA","1"" CONDUIT - PVC"
2 Inch ( C ) Treaded Conduit B,"2"" UNK"
"2"" Prefab EMT PIPE","2"" CONDUIT - EMT"
1 1/2” Carflex/liquid tight no,"1-1/2"" CONDUIT - FLEX"
"1/2"" emt conduit","1/2"" CONDUIT - EMT"
2” Pvc Lbs,"2"" CONDUIT - PVC"
3/4 pvc ma,"3/4"" CONDUIT - PVC"
"1"" PVC Pipe","1"" CONDUIT - PVC"
FLEX 1/2,"1/2"" CONDUIT - FLEX"
"1"" Metal Flex conduit","1"" CONDUIT - FLEX"
"1 1/2"" EMT conduit","1-1/2"" CONDUIT - EMT"
"3"" PVC Coated GRC","3"" CONDUIT - GRC"
PIPE PVC400SCH80,UNK CONDUIT - PVC
Liquid-Tight Flexible Nonmetal,UNK CONDUIT - FLEX
PVC 112P 1-1/2 SCH40,"1-1/2"" CONDUIT - PVC"
"STREMT150 1 1/2 "" EMT TO SEAL ","1-1/2"" CONDUIT - EMT"
"4"" PVC Sched 40 10' sections","4"" CONDUIT - PVC"
"1 1/2"" PVC pipe","1-1/2"" CONDUIT - PVC"
"400' total 3"" PVC Sch 40 10' ","3"" CONDUIT - PVC"
3/4 Pvc Schl 40,"3/4"" CONDUIT - PVC"
"2"" EMT pipe","2"" CONDUIT - EMT"
"3 1/2"" Sealtite Flex","3-1/2"" CONDUIT - FLEX"
2 ½” emt ,"2"" CONDUIT - EMT"
"EMT Conduit, 3/4"", Steel, 10'","3/4"" CONDUIT - EMT"
XENTURY ADJ,UNK UNK
"3"" CARFLEX","3"" CONDUIT - FLEX"
"1000' 1"" smurf tube","1"" CONDUIT - ENT"
2 inch pvc schedule 80,"2"" CONDUIT - PVC"
3/4 Rigid Conduit,"3/4"" CONDUIT - PVC"
"Flexible Steel Conduit, 3"", 25","3"" CONDUIT - FLEX"
"4"" PVC MA's","4"" CONDUIT - PVC"
RYMCO - EMT 1-1/2IN,"1-1/2"" CONDUIT - EMT"
"[ENT] 1 1/4"", 50'","1-1/4"" UNK"
"[PVC] 3"", Schedule 40, 20' St","3"" CONDUIT - PVC"
"3/4"" gray ENT","3/4"" UNK"
1 1/4 pvc pipe,"1-1/4"" CONDUIT - PVC"
2 1/2'' Seal Tight Flex,"2-1/2"" CONDUIT - FLEX"
2 IN PVC Conduit 10 FT stick S,"2"" CONDUIT - PVC"
"4"" PVC SCHED 40 @ 10'","4"" CONDUIT - PVC"
FLEX 1,"1"" CONDUIT - FLEX"
"1"" FLEX","1"" CONDUIT - FLEX"
1-1/2 PVC MA’s,"1-1/2"" CONDUIT - PVC"
3/4'' green field St Flex Con,"3/4"" CONDUIT - FLEX"
EMT 2,"2"" CONDUIT - EMT"
"1"" PVC Conduit, 10', Schedule ","1"" CONDUIT - PVC"
"2"" aluminum flex","2"" CONDUIT - FLEX"
"3/4"" GRAY ENT 1000' SPOOL","3/4"" CONDUIT - ENT"
"1-1/2"" NON-UL FLEX L/T MET CON","1-1/2"" CONDUIT - FLEX"
2-1/2 CONDUIT,"2-1/2"" UNK"
PVC COND 4 22015-003BO REFUSED,"4"" CONDUIT - PVC"
"2"" metalic flex","2"" CONDUIT - FLEX"
"2-1/2"" PVC Conduit, 10', Sched","2-1/2"" CONDUIT - PVC"
ARLINGTON EMT100,UNK CONDUIT - EMT
3/4” PVC MA,"3/4"" CONDUIT - PVC"
Liquidtight Flexible Steel Con,UNK CONDUIT - FLEX
"EMT Conduit, 3-1/2"", Steel, 10","3-1/2"" CONDUIT - EMT"
"Master bundle red 3/4"" EMT","3/4"" CONDUIT - EMT"
"[PVC] 2"", Schedule 40, 10' St","2"" CONDUIT - PVC"
"1-1/4"" PVC ","1-1/4"" CONDUIT - PVC"
[Steel Metallic Flexible Condu,UNK CONDUIT - FLEX
PVC 07520 3/4-PVC-SCHED-40-20F,"3/4"" CONDUIT - PVC"
"[EMT] 4"" Conduit Rigid Galvani","4"" CONDUIT - EMT"
PVC 40080 4-IN-PVC-SCHED-80-CO,UNK CONDUIT - PVC
"1""schedule 40 pvc conduit","1"" CONDUIT - PVC"
3/4” smurf tubing,"3/4"" CONDUIT - ENT"
1 1/4 “  Pvc,"1-1/4"" CONDUIT - PVC"
"PVC 2 1/2"" SCH40","2-1/2"" CONDUIT - PVC"
"1-1/4"" PVC (20' sticks)","1-1/4"" CONDUIT - PVC"
"1/2"" mini's EMT","1/2"" CONDUIT - EMT"
carflex 3/4”,"3/4"" CONDUIT - FLEX"
1 1/2 pvc schedule 40,"1-1/2"" CONDUIT - PVC"
"2-1/2"" EMT ","2-1/2"" CONDUIT - EMT"
STL FLEX 1/2,"1/2"" CONDUIT - FLEX"
"2"" PVC weatherhead","2"" CONDUIT - PVC"
"1"" PVC (20' sticks)","1"" CONDUIT - PVC"
"PVC 1 1/2"" SCH 40 COUNDUIT","1-1/2"" CONDUIT - PVC"
"2"" sch 40 PVC","2"" CONDUIT - PVC"
"12"" x 12"" x 4"" PVC Junction Bo","4"" CONDUIT - PVC"
6x6x6 Sch 40 PVC WP Junction B,"6"" CONDUIT - PVC"
"1/2"" sch 40 pvc","1/2"" CONDUIT - PVC"
"1.25"" CARFLEX @ 30'","1"" CONDUIT - FLEX"
3/4” EMT MINI’s,"3/4"" CONDUIT - EMT"
PVC 30080 3-IN-PVC-SCHED-80-CO,UNK CONDUIT - PVC
3 in sch 40 PVC,"3"" CONDUIT - PVC"
4 X CLOSE-GALVANIZED CONDUIT N,"4"" CONDUIT - GRC"
"3"" RIGID Conduit","3"" CONDUIT - PVC"
"3"" pvc pipe","3"" CONDUIT - PVC"
1 1/2 pvc ma's,"1-1/2"" CONDUIT - PVC"
"1-1/2"" EMT ","1-1/2"" CONDUIT - EMT"
3'' EMT INS BSHG  047,UNK CONDUIT - EMT
"Flexible Steel Conduit, 2"",","2"" CONDUIT - FLEX"
"FLEXIBLE STEEL CONDUIT, 1/2"", ","1/2"" CONDUIT - FLEX"
"1"" schedule 80 pvc conduit","1"" CONDUIT - PVC"
1 1/4'' EMT Conduits,"1-1/4"" CONDUIT - EMT"
"2-1/2"" GRC ","2-1/2"" CONDUIT - GRC"
"3 1/2"" Sch. 40 PVC 10' Pieces","3-1/2"" CONDUIT - PVC"
Thomas & Betts Round PVC Floor,UNK CONDUIT - PVC
CONDUIT 3/4-EMT,"3/4"" CONDUIT - EMT"
PVC COND 3/4,"3/4"" CONDUIT - PVC"
1-1/2”       Schl 40   pvc  Co,"1-1/2"" CONDUIT - PVC"
3/4  EMT,"3/4"" CONDUIT - EMT"
3/4” carflex,"3/4"" CONDUIT - FLEX"
"2"" SCHEDULE 40 PVC CONDUIT","2"" CONDUIT - PVC"
FLEX LIQ TIGHT CONDUIT,UNK CONDUIT - FLEX
"3/4"" PVC  ( 100 sticks)","3/4"" CONDUIT - PVC"
"1&1/2"" PVC Sch.40 Conduit","1/2"" CONDUIT - PVC"
"1-1/2"" PVC PIPE - SCH 40 - 10 ","1-1/2"" CONDUIT - PVC"
"1/2 "" EMT conduit 10FT","1/2"" CONDUIT - EMT"
LQT NM0751000RL 3/4-IN-FLEX-NM,"3/4"" CONDUIT - FLEX"
4 GRC,"4"" CONDUIT - GRC"
"4"" PVC Schedule  40 ","4"" CONDUIT - PVC"
Bridgeport® Knockout Conduit ,UNK UNK
Thomas & Betts XJG38-EMT 1 EM,"1"" CONDUIT - EMT"
2 inch car flex,"2"" CONDUIT - FLEX"
4” sch  40 pvc,"4"" CONDUIT - PVC"
2 1/2 EMT/RIGID TO FLEX CONT,"2-1/2"" CONDUIT - FLEX"
Allied Tube & Conduit SCH80 Ri,UNK UNK
1” ENT  conduit,"1"" CONDUIT - ENT"
"3/4"" PVC Conduit 10Ft","3/4"" CONDUIT - PVC"
Liquid Tight Flexible Conduit ,UNK CONDUIT - FLEX
"1"" GRC ","1"" CONDUIT - GRC"
"Aluminum Flex, 1-1/2""","1-1/2"" CONDUIT - FLEX"
3-1/2”       Schl 40   pvc  F,"3-1/2"" CONDUIT - PVC"
"3/4"" Metallic Flex ( Greenfiel","3/4"" CONDUIT - FLEX"
FLEXCON 2,"2"" CONDUIT - FLEX"
"PVC Conduit, 4"", 20', Schedule","4"" CONDUIT - PVC"
"[ENT] 1"", 500'","1"" UNK"
1” Emt Conduit,"1"" CONDUIT - EMT"
PIPE PVC075,UNK CONDUIT - PVC
"2.5"" schedule 40 pvc","5"" CONDUIT - PVC"
"1 1/4"" PVC F/A","1-1/4"" CONDUIT - PVC"
"PVC Coated Rigid Conduit, 1-1/",UNK CONDUIT - PVC
"2"" PVC Sched 40 @ 200'","2"" CONDUIT - PVC"
193WA 15007-CUT REEL3/4LT FLEX,"3/4"" CONDUIT - FLEX"
"[PVC] 3"", Schedule 40, 10' Sti","3"" CONDUIT - PVC"
"1-1/2"" pvc","1-1/2"" CONDUIT - PVC"
1in pvc pipe,"1"" CONDUIT - PVC"
"3/4"" FMC FLEX","3/4"" CONDUIT - FLEX"
PVC 200 2-IN-PVC-SCHED-40-COND,UNK CONDUIT - PVC
"2"" x 12"" Galvanized Conduit Ni","2"" CONDUIT - GRC"
"2"" STL FLEX","2"" CONDUIT - FLEX"
GRC 5,"5"" CONDUIT - GRC"
1-1/2 rigid pipe,"1-1/2"" CONDUIT - PVC"
3/4 pvc f/a,"3/4"" CONDUIT - PVC"
EMT AC/MC 14/3 TO 10/3,"3"" CONDUIT - EMT"
"1 1/2"" metal flex","1-1/2"" CONDUIT - FLEX"
1” PVC CONDUIT,"1"" CONDUIT - PVC"
1” sch  40 pvc,"1"" CONDUIT - PVC"
1-1/4”       Schl 40   pvc  Ma,"1-1/4"" CONDUIT - PVC"
"3/4"" CARFLEX","3/4"" CONDUIT - FLEX"
1-1/2 Rigid Metal Conduit,"1-1/2"" CONDUIT - PVC"
198 KTA25 1-1/4 PVC CON 189680,"1-1/4"" CONDUIT - PVC"
"3"" greenfield flex","3"" CONDUIT - FLEX"
"3/4"" pvc scedule 40","3/4"" CONDUIT - PVC"
1 1/2” EMT CONDUIT,"1-1/2"" CONDUIT - EMT"
ELB EMT3002212 3-IN-22-1/2DEG-,"1/2"" CONDUIT - EMT"
"[PVC] 1 1/2"", Schedule 80, 10'","1-1/2"" CONDUIT - PVC"
"[PVC] 1"", Schedule 40, 20' Sti","1"" CONDUIT - PVC"
8/3 PVC coated MC,"3"" CONDUIT - PVC"
EMT 1,"1"" CONDUIT - EMT"
"3"" EMT ","3"" CONDUIT - EMT"
WI ELE30030 Wi 30D Emt Conduit,UNK CONDUIT - EMT
LQT NM050100CL 1/2-FLEX-NM-LIQ,"1/2"" CONDUIT - FLEX"
2 Inch Greenfield Flex Steel,"2"" CONDUIT - FLEX"
1/2” Steel FLEX,"1/2"" CONDUIT - FLEX"
EMT 1-1/2,"1-1/2"" CONDUIT - EMT"
"3/4"" Carflex","3/4"" CONDUIT - FLEX"
"Rigid Conduit, 1-1/2"", Galvan","1-1/2"" CONDUIT - GRC"
1/2 STL FLEX REDC WALL UL 100,"1/2"" CONDUIT - FLEX"
"3/4"" EMT PIPE","3/4"" CONDUIT - EMT"
"1-1/2"" GRC","1-1/2"" CONDUIT - GRC"
"2""   FLEX AL","2"" CONDUIT - FLEX"
1 Inch Pvc Pipe ,"1"" CONDUIT - PVC"
2” PVC Sch 40,"2"" CONDUIT - PVC"
"2"" PVC sch. 40","2"" CONDUIT - PVC"
"1/2"" Metal Flex","1/2"" CONDUIT - FLEX"
1/2 carflex,"1/2"" CONDUIT - FLEX"
"[PVC] 1 1/4"", Schedule 40, 20'","1-1/4"" CONDUIT - PVC"
"5 1000' spools blue 3/4"" ENT","3/4"" UNK"
1/2 in emt,"1/2"" CONDUIT - EMT"
"Gray ENT w/ Blue Stripe, 1-1/4","1-1/4"" CONDUIT - ENT"
"1"" Conduit - PVC 40","1"" CONDUIT - PVC"
21015-257 NIP=FLEX,UNK CONDUIT - FLEX
"EMT Conduit, 2-1/2"", Steel, 10","2-1/2"" CONDUIT - EMT"
3'' EMT Conduits,UNK CONDUIT - EMT
"5"" PVC Sweep","5"" CONDUIT - PVC"
"1.5"" schedule 40 pvc","5"" CONDUIT - PVC"
"4"" RIGID Conduit","4"" CONDUIT - PVC"
"3/4"" PVC","3/4"" CONDUIT - PVC"
PVC4150,UNK CONDUIT - PVC
