Description,AssemblyDescription
3/4'' PVC Conduit,"3/4"" CONDUIT - PVC"
1-STEEL THINWALL CONDUIT,UNK CONDUIT - EMT
"rigid 2"" pipe","2"" CONDUIT - PVC"
PVC 22-1/2D EL 4,"1/2"" CONDUIT - PVC"
"2-1/2"" EMT Conduit","2-1/2"" CONDUIT - EMT"
"4"" SCH 40 PVC","4"" CONDUIT - PVC"
"3/4"" EMT ","3/4"" CONDUIT - EMT"
3/4” Rigid Conduit,"3/4"" CONDUIT - PVC"
"Rigid Conduit, 2"" Diameter, 1","2"" CONDUIT - PVC"
"1"" PVC","1"" CONDUIT - PVC"
"3"" EMT Conduit, 10'","3"" CONDUIT - EMT"
"[EMT] 1/2"", 10' Sticks","1/2"" CONDUIT - EMT"
4” Seal Tight Flex,"4"" CONDUIT - FLEX"
"3"" pvc sch 40","3"" CONDUIT - PVC"
"2 1/2"" emt LB","2-1/2"" CONDUIT - EMT"
2-RIGID CONDUIT,UNK CONDUIT - PVC
"2"" PVC SCHED 40","2"" CONDUIT - PVC"
"1"" schedule 40 pvc","1"" CONDUIT - PVC"
"[ENT] 3/4"", 250'","3/4"" UNK"
"Rigid Conduit, 6"", Galvanized","6"" CONDUIT - GRC"
11/2 EMT Conduit,"2"" CONDUIT - EMT"
"Aluminum Flex, 1/2"", 50' Reel","1/2"" CONDUIT - FLEX"
"1 1/2"" emt","1-1/2"" CONDUIT - EMT"
"1"" PVC Sch 40 20' Sections","1"" CONDUIT - PVC"
HALEX 3/8 IN. FLEXIBLE METAL C,UNK CONDUIT - FLEX
"10'   4"" sch 80 pvc","4"" CONDUIT - PVC"
4” emt conduit,"4"" CONDUIT - EMT"
"[ENT] 1"", 1000'","1"" UNK"
2-1/2 carflex,"2-1/2"" CONDUIT - FLEX"
GRC 1-1/2,"1-1/2"" CONDUIT - GRC"
"3""  PVC SCH 40","3"" CONDUIT - PVC"
"3/4"" blue ENT","3/4"" UNK"
2” PVC,"2"" CONDUIT - PVC"
"1"" GREEN FIELD FLEX. METAL FLE","1"" CONDUIT - FLEX"
pvc 1 1/2 ,"1-1/2"" CONDUIT - PVC"
15007-100 3/4 6/T FLEX PVC,"3/4"" CONDUIT - FLEX"
"PVC 4"" SCH 40 CONDUIT","4"" CONDUIT - PVC"
"4"" PVC Conduit, 20', Schedule","4"" CONDUIT - PVC"
"3/4"" aluminum flex","3/4"" CONDUIT - FLEX"
1-1/4-ALUMINUM FLEXIBLE CONDUI,"1-1/4"" CONDUIT - FLEX"
"1"" gray ENT tubing","1"" CONDUIT - ENT"
J123AL01 35043 ELBEMT4002212,UNK CONDUIT - EMT
"4"" EMT CODUIT 10' LONG","4"" CONDUIT - EMT"
"2"" EMT Conduit","2"" CONDUIT - EMT"
1” emt,"1"" CONDUIT - EMT"
"4"" pvc sch 40 pipe","4"" CONDUIT - PVC"
2' EMT conduit,UNK CONDUIT - EMT
EMT 075 3/4X10FT-EMT,"3/4"" CONDUIT - EMT"
CONDUIT 3-30D-EMT-EL,UNK CONDUIT - EMT
"1-1/2"" PVC Sch 40 20' Sections","1-1/2"" CONDUIT - PVC"
3/4 NMLT CONDUIT,"3/4"" UNK"
FLEXSTEEL CONDUIT,UNK CONDUIT - FLEX
"2"" PVC Conduit 10Ft","2"" CONDUIT - PVC"
"3/4"" CONDUIT","3/4"" UNK"
"TC 1277 3/4"" RIGID IRON PIPE S","3/4"" CONDUIT - PVC"
"EMT 1 1/2"" CONDUIT","1-1/2"" CONDUIT - EMT"
"[PVC] 4"", Schedule 40, 10' Sti","4"" CONDUIT - PVC"
"[PVC] 1 1/4"", Schedule 40, 10","1-1/4"" CONDUIT - PVC"
"2 1/2"" PVC conduit","2-1/2"" CONDUIT - PVC"
"3/4"" steel flex","3/4"" CONDUIT - FLEX"
1/2” Seal Tight Flex,"1/2"" CONDUIT - FLEX"
1 750R ENT UL BL KWIKON RL PCO,"1"" CONDUIT - ENT"
"1/2"" EMT PIPE","1/2"" CONDUIT - EMT"
EMT150,UNK CONDUIT - EMT
2-1/2 Scd 80 Pvc,"2-1/2"" CONDUIT - PVC"
"[PVC] 4"", Schedule 40, 20' St","4"" CONDUIT - PVC"
"10' Sticks 4"" PVC Sch 40 (Tota","4"" CONDUIT - PVC"
"4"" PVC Sched 40","4"" CONDUIT - PVC"
"1/2"" metallic flex (FMC)","1/2"" CONDUIT - FLEX"
1” red emt,"1"" CONDUIT - EMT"
"[EMT] 1"" Conduit","1"" CONDUIT - EMT"
"3/4""emt","3/4"" CONDUIT - EMT"
1-1/2”       Schl 40   pvc  Ma,"1-1/2"" CONDUIT - PVC"
3/4 STL S/SCR EMT,"3/4"" CONDUIT - EMT"
156PR 15007-CUT REEL 3/4LTFLEX,"3/4"" CONDUIT - FLEX"
"1 1/4"" EMT Conduit","1-1/4"" CONDUIT - EMT"
"2 1/2"" EMT CONDUIT","2-1/2"" CONDUIT - EMT"
